,titles,companies,locations,reviews,noofreviews,descriptions,salaries
3202,"Senior Data Scientist, SCM",Neem Consulting,Remote in India,None,None,None,None
3203,Quant Analytics - Associate Senior,JPMorgan Chase & Co,"Bengaluru, Karnataka",None,None,None,None
3204,Technical Content Creator - Artificial Intelligence,DTT (Digital Transformation Twin),"Lucknow, Uttar Pradesh",None,None,None,"₹35,000 - ₹45,000 a month"
3205,"Applied Scientist, EU INTech",ADCI - Karnataka,"Bengaluru, Karnataka",None,None,None,None
3206,Lead Analyst – Data Science,Travelopia,"Bengaluru, Karnataka",None,None,None,None
3207,Data Science Trainer cum Developer,Expertz lab Technologies,"Ernakulam, Kerala",None,None,None,"₹12,000 - ₹20,000 a month"
3208,Senior Data Scientist / Data Scientist 2,CommerceIQ,"Bengaluru, Karnataka",None,None,None,None
3209,Lead ML Engineer,Affine,India,None,None,None,None
3210,Senior Data scientist,ZF,"Chennai, Tamil Nadu",None,None,None,None
3211,Sales Manager B2B & B2C (Data Science ED-TECH)-Noida,Emerging India Educational Services Pvt Ltd,"Noida, Uttar Pradesh",None,None,None,"₹30,000 - ₹50,000 a month"
3212,Assistant Manager - CMG - R&I - Data Science Specialist - Hyderabad,Deloitte,"Hyderabad, Telangana",None,None,None,None
3213,Data Science,Rojgar Group,"Mumbai, Maharashtra",None,None,None,None
3214,Senior Data Scientist,BigShyft,"Bengaluru, Karnataka",None,None,None,None
3215,"Manager, Machine Learning Engineer",Capital One,"Bengaluru, Karnataka",None,None,None,None
3216,Faculty - Artificial Intelligence,EIM,"Kochi, Kerala",None,None,None,None
3217,"Senior Data Scientist, SCM",Neem Consulting,Remote in India,None,None,None,None
3218,Quant Analytics - Associate Senior,JPMorgan Chase & Co,"Bengaluru, Karnataka",None,None,None,None
3219,Technical Content Creator - Artificial Intelligence,DTT (Digital Transformation Twin),"Lucknow, Uttar Pradesh",None,None,None,"₹35,000 - ₹45,000 a month"
3220,"Applied Scientist, EU INTech",ADCI - Karnataka,"Bengaluru, Karnataka",None,None,None,None
3221,Lead Analyst – Data Science,Travelopia,"Bengaluru, Karnataka",None,None,None,None
3222,Data Science Trainer cum Developer,Expertz lab Technologies,"Ernakulam, Kerala",None,None,None,"₹12,000 - ₹20,000 a month"
3223,Senior Data Scientist / Data Scientist 2,CommerceIQ,"Bengaluru, Karnataka",None,None,None,None
3224,Lead ML Engineer,Affine,India,None,None,None,None
3225,Senior Data scientist,ZF,"Chennai, Tamil Nadu",None,None,None,None
3226,Sales Manager B2B & B2C (Data Science ED-TECH)-Noida,Emerging India Educational Services Pvt Ltd,"Noida, Uttar Pradesh",None,None,None,"₹30,000 - ₹50,000 a month"
3227,Assistant Manager - CMG - R&I - Data Science Specialist - Hyderabad,Deloitte,"Hyderabad, Telangana",None,None,None,None
3228,Data Science,Rojgar Group,"Mumbai, Maharashtra",None,None,None,None
3229,Senior Data Scientist,BigShyft,"Bengaluru, Karnataka",None,None,None,None
3230,"Manager, Machine Learning Engineer",Capital One,"Bengaluru, Karnataka",None,None,None,None
3231,Faculty - Artificial Intelligence,EIM,"Kochi, Kerala",None,None,None,None
3232,"Senior Data Scientist, SCM",Neem Consulting,Remote in India,None,None,None,None
3233,Quant Analytics - Associate Senior,JPMorgan Chase & Co,"Bengaluru, Karnataka",None,None,None,None
3234,Technical Content Creator - Artificial Intelligence,DTT (Digital Transformation Twin),"Lucknow, Uttar Pradesh",None,None,None,"₹35,000 - ₹45,000 a month"
3235,"Applied Scientist, EU INTech",ADCI - Karnataka,"Bengaluru, Karnataka",None,None,None,None
3236,Lead Analyst – Data Science,Travelopia,"Bengaluru, Karnataka",None,None,None,None
3237,Data Science Trainer cum Developer,Expertz lab Technologies,"Ernakulam, Kerala",None,None,None,"₹12,000 - ₹20,000 a month"
3238,Senior Data Scientist / Data Scientist 2,CommerceIQ,"Bengaluru, Karnataka",None,None,None,None
3239,Lead ML Engineer,Affine,India,None,None,None,None
3240,Senior Data scientist,ZF,"Chennai, Tamil Nadu",None,None,None,None
3241,Sales Manager B2B & B2C (Data Science ED-TECH)-Noida,Emerging India Educational Services Pvt Ltd,"Noida, Uttar Pradesh",None,None,None,"₹30,000 - ₹50,000 a month"
3242,Assistant Manager - CMG - R&I - Data Science Specialist - Hyderabad,Deloitte,"Hyderabad, Telangana",None,None,None,None
3243,Data Science,Rojgar Group,"Mumbai, Maharashtra",None,None,None,None
3244,Senior Data Scientist,BigShyft,"Bengaluru, Karnataka",None,None,None,None
3245,"Manager, Machine Learning Engineer",Capital One,"Bengaluru, Karnataka",None,None,None,None
3246,Faculty - Artificial Intelligence,EIM,"Kochi, Kerala",None,None,None,None
3247,"Senior Data Scientist, SCM",Neem Consulting,Remote in India,None,None,None,None
3248,Quant Analytics - Associate Senior,JPMorgan Chase & Co,"Bengaluru, Karnataka",None,None,None,None
3249,Technical Content Creator - Artificial Intelligence,DTT (Digital Transformation Twin),"Lucknow, Uttar Pradesh",None,None,None,"₹35,000 - ₹45,000 a month"
3250,"Applied Scientist, EU INTech",ADCI - Karnataka,"Bengaluru, Karnataka",None,None,None,None
3251,Lead Analyst – Data Science,Travelopia,"Bengaluru, Karnataka",None,None,None,None
3252,Data Science Trainer cum Developer,Expertz lab Technologies,"Ernakulam, Kerala",None,None,None,"₹12,000 - ₹20,000 a month"
3253,Senior Data Scientist / Data Scientist 2,CommerceIQ,"Bengaluru, Karnataka",None,None,None,None
3254,Lead ML Engineer,Affine,India,None,None,None,None
3255,Senior Data scientist,ZF,"Chennai, Tamil Nadu",None,None,None,None
3256,Sales Manager B2B & B2C (Data Science ED-TECH)-Noida,Emerging India Educational Services Pvt Ltd,"Noida, Uttar Pradesh",None,None,None,"₹30,000 - ₹50,000 a month"
3257,Assistant Manager - CMG - R&I - Data Science Specialist - Hyderabad,Deloitte,"Hyderabad, Telangana",None,None,None,None
3258,Data Science,Rojgar Group,"Mumbai, Maharashtra",None,None,None,None
3259,Senior Data Scientist,BigShyft,"Bengaluru, Karnataka",None,None,None,None
3260,"Manager, Machine Learning Engineer",Capital One,"Bengaluru, Karnataka",None,None,None,None
3261,Faculty - Artificial Intelligence,EIM,"Kochi, Kerala",None,None,None,None
3262,"Senior Data Scientist, SCM",Neem Consulting,Remote in India,None,None,None,None
3263,Quant Analytics - Associate Senior,JPMorgan Chase & Co,"Bengaluru, Karnataka",None,None,None,None
3264,Technical Content Creator - Artificial Intelligence,DTT (Digital Transformation Twin),"Lucknow, Uttar Pradesh",None,None,None,"₹35,000 - ₹45,000 a month"
3265,"Applied Scientist, EU INTech",ADCI - Karnataka,"Bengaluru, Karnataka",None,None,None,None
3266,Lead Analyst – Data Science,Travelopia,"Bengaluru, Karnataka",None,None,None,None
3267,Data Science Trainer cum Developer,Expertz lab Technologies,"Ernakulam, Kerala",None,None,None,"₹12,000 - ₹20,000 a month"
3268,Senior Data Scientist / Data Scientist 2,CommerceIQ,"Bengaluru, Karnataka",None,None,None,None
3269,Lead ML Engineer,Affine,India,None,None,None,None
3270,Senior Data scientist,ZF,"Chennai, Tamil Nadu",None,None,None,None
3271,Sales Manager B2B & B2C (Data Science ED-TECH)-Noida,Emerging India Educational Services Pvt Ltd,"Noida, Uttar Pradesh",None,None,None,"₹30,000 - ₹50,000 a month"
3272,Assistant Manager - CMG - R&I - Data Science Specialist - Hyderabad,Deloitte,"Hyderabad, Telangana",None,None,None,None
3273,Data Science,Rojgar Group,"Mumbai, Maharashtra",None,None,None,None
3274,Senior Data Scientist,BigShyft,"Bengaluru, Karnataka",None,None,None,None
3275,"Manager, Machine Learning Engineer",Capital One,"Bengaluru, Karnataka",None,None,None,None
3276,Faculty - Artificial Intelligence,EIM,"Kochi, Kerala",None,None,None,None
3277,"Senior Data Scientist, SCM",Neem Consulting,Remote in India,None,None,None,None
3278,Quant Analytics - Associate Senior,JPMorgan Chase & Co,"Bengaluru, Karnataka",None,None,None,None
3279,Technical Content Creator - Artificial Intelligence,DTT (Digital Transformation Twin),"Lucknow, Uttar Pradesh",None,None,None,"₹35,000 - ₹45,000 a month"
3280,"Applied Scientist, EU INTech",ADCI - Karnataka,"Bengaluru, Karnataka",None,None,None,None
3281,Lead Analyst – Data Science,Travelopia,"Bengaluru, Karnataka",None,None,None,None
3282,Data Science Trainer cum Developer,Expertz lab Technologies,"Ernakulam, Kerala",None,None,None,"₹12,000 - ₹20,000 a month"
3283,Senior Data Scientist / Data Scientist 2,CommerceIQ,"Bengaluru, Karnataka",None,None,None,None
3284,Lead ML Engineer,Affine,India,None,None,None,None
3285,Senior Data scientist,ZF,"Chennai, Tamil Nadu",None,None,None,None
3286,Sales Manager B2B & B2C (Data Science ED-TECH)-Noida,Emerging India Educational Services Pvt Ltd,"Noida, Uttar Pradesh",None,None,None,"₹30,000 - ₹50,000 a month"
3287,Assistant Manager - CMG - R&I - Data Science Specialist - Hyderabad,Deloitte,"Hyderabad, Telangana",None,None,None,None
3288,Data Science,Rojgar Group,"Mumbai, Maharashtra",None,None,None,None
3289,Senior Data Scientist,BigShyft,"Bengaluru, Karnataka",None,None,None,None
3290,"Manager, Machine Learning Engineer",Capital One,"Bengaluru, Karnataka",None,None,None,None
3291,Faculty - Artificial Intelligence,EIM,"Kochi, Kerala",None,None,None,None
3292,"Senior Data Scientist, SCM",Neem Consulting,Remote in India,None,None,None,None
3293,Quant Analytics - Associate Senior,JPMorgan Chase & Co,"Bengaluru, Karnataka",None,None,None,None
3294,Technical Content Creator - Artificial Intelligence,DTT (Digital Transformation Twin),"Lucknow, Uttar Pradesh",None,None,None,"₹35,000 - ₹45,000 a month"
3295,"Applied Scientist, EU INTech",ADCI - Karnataka,"Bengaluru, Karnataka",None,None,None,None
3296,Lead Analyst – Data Science,Travelopia,"Bengaluru, Karnataka",None,None,None,None
3297,Data Science Trainer cum Developer,Expertz lab Technologies,"Ernakulam, Kerala",None,None,None,"₹12,000 - ₹20,000 a month"
3298,Senior Data Scientist / Data Scientist 2,CommerceIQ,"Bengaluru, Karnataka",None,None,None,None
3299,Lead ML Engineer,Affine,India,None,None,None,None
3300,Senior Data scientist,ZF,"Chennai, Tamil Nadu",None,None,None,None
3301,Sales Manager B2B & B2C (Data Science ED-TECH)-Noida,Emerging India Educational Services Pvt Ltd,"Noida, Uttar Pradesh",None,None,None,"₹30,000 - ₹50,000 a month"
3302,Assistant Manager - CMG - R&I - Data Science Specialist - Hyderabad,Deloitte,"Hyderabad, Telangana",None,None,None,None
3303,Data Science,Rojgar Group,"Mumbai, Maharashtra",None,None,None,None
3304,Senior Data Scientist,BigShyft,"Bengaluru, Karnataka",None,None,None,None
3305,"Manager, Machine Learning Engineer",Capital One,"Bengaluru, Karnataka",None,None,None,None
3306,Faculty - Artificial Intelligence,EIM,"Kochi, Kerala",None,None,None,None
3307,"Senior Data Scientist, SCM",Neem Consulting,Remote in India,None,None,None,None
3308,Quant Analytics - Associate Senior,JPMorgan Chase & Co,"Bengaluru, Karnataka",None,None,None,None
3309,Technical Content Creator - Artificial Intelligence,DTT (Digital Transformation Twin),"Lucknow, Uttar Pradesh",None,None,None,"₹35,000 - ₹45,000 a month"
3310,"Applied Scientist, EU INTech",ADCI - Karnataka,"Bengaluru, Karnataka",None,None,None,None
3311,Lead Analyst – Data Science,Travelopia,"Bengaluru, Karnataka",None,None,None,None
3312,Data Science Trainer cum Developer,Expertz lab Technologies,"Ernakulam, Kerala",None,None,None,"₹12,000 - ₹20,000 a month"
3313,Senior Data Scientist / Data Scientist 2,CommerceIQ,"Bengaluru, Karnataka",None,None,None,None
3314,Lead ML Engineer,Affine,India,None,None,None,None
3315,Senior Data scientist,ZF,"Chennai, Tamil Nadu",None,None,None,None
3316,Sales Manager B2B & B2C (Data Science ED-TECH)-Noida,Emerging India Educational Services Pvt Ltd,"Noida, Uttar Pradesh",None,None,None,"₹30,000 - ₹50,000 a month"
3317,Assistant Manager - CMG - R&I - Data Science Specialist - Hyderabad,Deloitte,"Hyderabad, Telangana",None,None,None,None
3318,Data Science,Rojgar Group,"Mumbai, Maharashtra",None,None,None,None
3319,Senior Data Scientist,BigShyft,"Bengaluru, Karnataka",None,None,None,None
3320,"Manager, Machine Learning Engineer",Capital One,"Bengaluru, Karnataka",None,None,None,None
3321,Faculty - Artificial Intelligence,EIM,"Kochi, Kerala",None,None,None,None
3322,"Senior Data Scientist, SCM",Neem Consulting,Remote in India,None,None,None,None
3323,Quant Analytics - Associate Senior,JPMorgan Chase & Co,"Bengaluru, Karnataka",None,None,None,None
3324,Technical Content Creator - Artificial Intelligence,DTT (Digital Transformation Twin),"Lucknow, Uttar Pradesh",None,None,None,"₹35,000 - ₹45,000 a month"
3325,"Applied Scientist, EU INTech",ADCI - Karnataka,"Bengaluru, Karnataka",None,None,None,None
3326,Lead Analyst – Data Science,Travelopia,"Bengaluru, Karnataka",None,None,None,None
3327,Data Science Trainer cum Developer,Expertz lab Technologies,"Ernakulam, Kerala",None,None,None,"₹12,000 - ₹20,000 a month"
3328,Senior Data Scientist / Data Scientist 2,CommerceIQ,"Bengaluru, Karnataka",None,None,None,None
3329,Lead ML Engineer,Affine,India,None,None,None,None
3330,Senior Data scientist,ZF,"Chennai, Tamil Nadu",None,None,None,None
3331,Sales Manager B2B & B2C (Data Science ED-TECH)-Noida,Emerging India Educational Services Pvt Ltd,"Noida, Uttar Pradesh",None,None,None,"₹30,000 - ₹50,000 a month"
3332,Assistant Manager - CMG - R&I - Data Science Specialist - Hyderabad,Deloitte,"Hyderabad, Telangana",None,None,None,None
3333,Data Science,Rojgar Group,"Mumbai, Maharashtra",None,None,None,None
3334,Senior Data Scientist,BigShyft,"Bengaluru, Karnataka",None,None,None,None
3335,"Manager, Machine Learning Engineer",Capital One,"Bengaluru, Karnataka",None,None,None,None
3336,Faculty - Artificial Intelligence,EIM,"Kochi, Kerala",None,None,None,None
3337,"Senior Data Scientist, SCM",Neem Consulting,Remote in India,None,None,None,None
3338,Quant Analytics - Associate Senior,JPMorgan Chase & Co,"Bengaluru, Karnataka",None,None,None,None
3339,Technical Content Creator - Artificial Intelligence,DTT (Digital Transformation Twin),"Lucknow, Uttar Pradesh",None,None,None,"₹35,000 - ₹45,000 a month"
3340,"Applied Scientist, EU INTech",ADCI - Karnataka,"Bengaluru, Karnataka",None,None,None,None
3341,Lead Analyst – Data Science,Travelopia,"Bengaluru, Karnataka",None,None,None,None
3342,Data Science Trainer cum Developer,Expertz lab Technologies,"Ernakulam, Kerala",None,None,None,"₹12,000 - ₹20,000 a month"
3343,Senior Data Scientist / Data Scientist 2,CommerceIQ,"Bengaluru, Karnataka",None,None,None,None
3344,Lead ML Engineer,Affine,India,None,None,None,None
3345,Senior Data scientist,ZF,"Chennai, Tamil Nadu",None,None,None,None
3346,Sales Manager B2B & B2C (Data Science ED-TECH)-Noida,Emerging India Educational Services Pvt Ltd,"Noida, Uttar Pradesh",None,None,None,"₹30,000 - ₹50,000 a month"
3347,Assistant Manager - CMG - R&I - Data Science Specialist - Hyderabad,Deloitte,"Hyderabad, Telangana",None,None,None,None
3348,Data Science,Rojgar Group,"Mumbai, Maharashtra",None,None,None,None
3349,Senior Data Scientist,BigShyft,"Bengaluru, Karnataka",None,None,None,None
3350,"Manager, Machine Learning Engineer",Capital One,"Bengaluru, Karnataka",None,None,None,None
3351,Faculty - Artificial Intelligence,EIM,"Kochi, Kerala",None,None,None,None
3352,"Senior Data Scientist, SCM",Neem Consulting,Remote in India,None,None,None,None
3353,Quant Analytics - Associate Senior,JPMorgan Chase & Co,"Bengaluru, Karnataka",None,None,None,None
3354,Technical Content Creator - Artificial Intelligence,DTT (Digital Transformation Twin),"Lucknow, Uttar Pradesh",None,None,None,"₹35,000 - ₹45,000 a month"
3355,"Applied Scientist, EU INTech",ADCI - Karnataka,"Bengaluru, Karnataka",None,None,None,None
3356,Lead Analyst – Data Science,Travelopia,"Bengaluru, Karnataka",None,None,None,None
3357,Data Science Trainer cum Developer,Expertz lab Technologies,"Ernakulam, Kerala",None,None,None,"₹12,000 - ₹20,000 a month"
3358,Senior Data Scientist / Data Scientist 2,CommerceIQ,"Bengaluru, Karnataka",None,None,None,None
3359,Lead ML Engineer,Affine,India,None,None,None,None
3360,Senior Data scientist,ZF,"Chennai, Tamil Nadu",None,None,None,None
3361,Sales Manager B2B & B2C (Data Science ED-TECH)-Noida,Emerging India Educational Services Pvt Ltd,"Noida, Uttar Pradesh",None,None,None,"₹30,000 - ₹50,000 a month"
3362,Assistant Manager - CMG - R&I - Data Science Specialist - Hyderabad,Deloitte,"Hyderabad, Telangana",None,None,None,None
3363,Data Science,Rojgar Group,"Mumbai, Maharashtra",None,None,None,None
3364,Senior Data Scientist,BigShyft,"Bengaluru, Karnataka",None,None,None,None
3365,"Manager, Machine Learning Engineer",Capital One,"Bengaluru, Karnataka",None,None,None,None
3366,Faculty - Artificial Intelligence,EIM,"Kochi, Kerala",None,None,None,None
3367,"Senior Data Scientist, SCM",Neem Consulting,Remote in India,None,None,None,None
3368,Quant Analytics - Associate Senior,JPMorgan Chase & Co,"Bengaluru, Karnataka",None,None,None,None
3369,Technical Content Creator - Artificial Intelligence,DTT (Digital Transformation Twin),"Lucknow, Uttar Pradesh",None,None,None,"₹35,000 - ₹45,000 a month"
3370,"Applied Scientist, EU INTech",ADCI - Karnataka,"Bengaluru, Karnataka",None,None,None,None
3371,Lead Analyst – Data Science,Travelopia,"Bengaluru, Karnataka",None,None,None,None
3372,Data Science Trainer cum Developer,Expertz lab Technologies,"Ernakulam, Kerala",None,None,None,"₹12,000 - ₹20,000 a month"
3373,Senior Data Scientist / Data Scientist 2,CommerceIQ,"Bengaluru, Karnataka",None,None,None,None
3374,Lead ML Engineer,Affine,India,None,None,None,None
3375,Senior Data scientist,ZF,"Chennai, Tamil Nadu",None,None,None,None
3376,Sales Manager B2B & B2C (Data Science ED-TECH)-Noida,Emerging India Educational Services Pvt Ltd,"Noida, Uttar Pradesh",None,None,None,"₹30,000 - ₹50,000 a month"
3377,Assistant Manager - CMG - R&I - Data Science Specialist - Hyderabad,Deloitte,"Hyderabad, Telangana",None,None,None,None
3378,Data Science,Rojgar Group,"Mumbai, Maharashtra",None,None,None,None
3379,Senior Data Scientist,BigShyft,"Bengaluru, Karnataka",None,None,None,None
3380,"Manager, Machine Learning Engineer",Capital One,"Bengaluru, Karnataka",None,None,None,None
3381,Faculty - Artificial Intelligence,EIM,"Kochi, Kerala",None,None,None,None
3382,"Senior Data Scientist, SCM",Neem Consulting,Remote in India,None,None,None,None
3383,Quant Analytics - Associate Senior,JPMorgan Chase & Co,"Bengaluru, Karnataka",None,None,None,None
3384,Technical Content Creator - Artificial Intelligence,DTT (Digital Transformation Twin),"Lucknow, Uttar Pradesh",None,None,None,"₹35,000 - ₹45,000 a month"
3385,"Applied Scientist, EU INTech",ADCI - Karnataka,"Bengaluru, Karnataka",None,None,None,None
3386,Lead Analyst – Data Science,Travelopia,"Bengaluru, Karnataka",None,None,None,None
3387,Data Science Trainer cum Developer,Expertz lab Technologies,"Ernakulam, Kerala",None,None,None,"₹12,000 - ₹20,000 a month"
3388,Senior Data Scientist / Data Scientist 2,CommerceIQ,"Bengaluru, Karnataka",None,None,None,None
3389,Lead ML Engineer,Affine,India,None,None,None,None
3390,Senior Data scientist,ZF,"Chennai, Tamil Nadu",None,None,None,None
3391,Sales Manager B2B & B2C (Data Science ED-TECH)-Noida,Emerging India Educational Services Pvt Ltd,"Noida, Uttar Pradesh",None,None,None,"₹30,000 - ₹50,000 a month"
3392,Assistant Manager - CMG - R&I - Data Science Specialist - Hyderabad,Deloitte,"Hyderabad, Telangana",None,None,None,None
3393,Data Science,Rojgar Group,"Mumbai, Maharashtra",None,None,None,None
3394,Senior Data Scientist,BigShyft,"Bengaluru, Karnataka",None,None,None,None
3395,"Manager, Machine Learning Engineer",Capital One,"Bengaluru, Karnataka",None,None,None,None
3396,Faculty - Artificial Intelligence,EIM,"Kochi, Kerala",None,None,None,None
3397,"Senior Data Scientist, SCM",Neem Consulting,Remote in India,None,None,None,None
3398,Quant Analytics - Associate Senior,JPMorgan Chase & Co,"Bengaluru, Karnataka",None,None,None,None
3399,Technical Content Creator - Artificial Intelligence,DTT (Digital Transformation Twin),"Lucknow, Uttar Pradesh",None,None,None,"₹35,000 - ₹45,000 a month"
3400,"Applied Scientist, EU INTech",ADCI - Karnataka,"Bengaluru, Karnataka",None,None,None,None
3401,Lead Analyst – Data Science,Travelopia,"Bengaluru, Karnataka",None,None,None,None
3402,Data Science Trainer cum Developer,Expertz lab Technologies,"Ernakulam, Kerala",None,None,None,"₹12,000 - ₹20,000 a month"
3403,Senior Data Scientist / Data Scientist 2,CommerceIQ,"Bengaluru, Karnataka",None,None,None,None
3404,Lead ML Engineer,Affine,India,None,None,None,None
3405,Senior Data scientist,ZF,"Chennai, Tamil Nadu",None,None,None,None
3406,Sales Manager B2B & B2C (Data Science ED-TECH)-Noida,Emerging India Educational Services Pvt Ltd,"Noida, Uttar Pradesh",None,None,None,"₹30,000 - ₹50,000 a month"
3407,Assistant Manager - CMG - R&I - Data Science Specialist - Hyderabad,Deloitte,"Hyderabad, Telangana",None,None,None,None
3408,Data Science,Rojgar Group,"Mumbai, Maharashtra",None,None,None,None
3409,Senior Data Scientist,BigShyft,"Bengaluru, Karnataka",None,None,None,None
3410,"Manager, Machine Learning Engineer",Capital One,"Bengaluru, Karnataka",None,None,None,None
3411,Faculty - Artificial Intelligence,EIM,"Kochi, Kerala",None,None,None,None
3412,"Senior Data Scientist, SCM",Neem Consulting,Remote in India,None,None,None,None
3413,Quant Analytics - Associate Senior,JPMorgan Chase & Co,"Bengaluru, Karnataka",None,None,None,None
3414,Technical Content Creator - Artificial Intelligence,DTT (Digital Transformation Twin),"Lucknow, Uttar Pradesh",None,None,None,"₹35,000 - ₹45,000 a month"
3415,"Applied Scientist, EU INTech",ADCI - Karnataka,"Bengaluru, Karnataka",None,None,None,None
3416,Lead Analyst – Data Science,Travelopia,"Bengaluru, Karnataka",None,None,None,None
3417,Data Science Trainer cum Developer,Expertz lab Technologies,"Ernakulam, Kerala",None,None,None,"₹12,000 - ₹20,000 a month"
3418,Senior Data Scientist / Data Scientist 2,CommerceIQ,"Bengaluru, Karnataka",None,None,None,None
3419,Lead ML Engineer,Affine,India,None,None,None,None
3420,Senior Data scientist,ZF,"Chennai, Tamil Nadu",None,None,None,None
3421,Sales Manager B2B & B2C (Data Science ED-TECH)-Noida,Emerging India Educational Services Pvt Ltd,"Noida, Uttar Pradesh",None,None,None,"₹30,000 - ₹50,000 a month"
3422,Assistant Manager - CMG - R&I - Data Science Specialist - Hyderabad,Deloitte,"Hyderabad, Telangana",None,None,None,None
3423,Data Science,Rojgar Group,"Mumbai, Maharashtra",None,None,None,None
3424,Senior Data Scientist,BigShyft,"Bengaluru, Karnataka",None,None,None,None
3425,"Manager, Machine Learning Engineer",Capital One,"Bengaluru, Karnataka",None,None,None,None
3426,Faculty - Artificial Intelligence,EIM,"Kochi, Kerala",None,None,None,None
3427,"Senior Data Scientist, SCM",Neem Consulting,Remote in India,None,None,None,None
3428,Quant Analytics - Associate Senior,JPMorgan Chase & Co,"Bengaluru, Karnataka",None,None,None,None
3429,Technical Content Creator - Artificial Intelligence,DTT (Digital Transformation Twin),"Lucknow, Uttar Pradesh",None,None,None,"₹35,000 - ₹45,000 a month"
3430,"Applied Scientist, EU INTech",ADCI - Karnataka,"Bengaluru, Karnataka",None,None,None,None
3431,Lead Analyst – Data Science,Travelopia,"Bengaluru, Karnataka",None,None,None,None
3432,Data Science Trainer cum Developer,Expertz lab Technologies,"Ernakulam, Kerala",None,None,None,"₹12,000 - ₹20,000 a month"
3433,Senior Data Scientist / Data Scientist 2,CommerceIQ,"Bengaluru, Karnataka",None,None,None,None
3434,Lead ML Engineer,Affine,India,None,None,None,None
3435,Senior Data scientist,ZF,"Chennai, Tamil Nadu",None,None,None,None
3436,Sales Manager B2B & B2C (Data Science ED-TECH)-Noida,Emerging India Educational Services Pvt Ltd,"Noida, Uttar Pradesh",None,None,None,"₹30,000 - ₹50,000 a month"
3437,Assistant Manager - CMG - R&I - Data Science Specialist - Hyderabad,Deloitte,"Hyderabad, Telangana",None,None,None,None
3438,Data Science,Rojgar Group,"Mumbai, Maharashtra",None,None,None,None
3439,Senior Data Scientist,BigShyft,"Bengaluru, Karnataka",None,None,None,None
3440,"Manager, Machine Learning Engineer",Capital One,"Bengaluru, Karnataka",None,None,None,None
3441,Faculty - Artificial Intelligence,EIM,"Kochi, Kerala",None,None,None,None
3442,"Senior Data Scientist, SCM",Neem Consulting,Remote in India,None,None,None,None
3443,Quant Analytics - Associate Senior,JPMorgan Chase & Co,"Bengaluru, Karnataka",None,None,None,None
3444,Technical Content Creator - Artificial Intelligence,DTT (Digital Transformation Twin),"Lucknow, Uttar Pradesh",None,None,None,"₹35,000 - ₹45,000 a month"
3445,"Applied Scientist, EU INTech",ADCI - Karnataka,"Bengaluru, Karnataka",None,None,None,None
3446,Lead Analyst – Data Science,Travelopia,"Bengaluru, Karnataka",None,None,None,None
3447,Data Science Trainer cum Developer,Expertz lab Technologies,"Ernakulam, Kerala",None,None,None,"₹12,000 - ₹20,000 a month"
3448,Senior Data Scientist / Data Scientist 2,CommerceIQ,"Bengaluru, Karnataka",None,None,None,None
3449,Lead ML Engineer,Affine,India,None,None,None,None
3450,Senior Data scientist,ZF,"Chennai, Tamil Nadu",None,None,None,None
3451,Sales Manager B2B & B2C (Data Science ED-TECH)-Noida,Emerging India Educational Services Pvt Ltd,"Noida, Uttar Pradesh",None,None,None,"₹30,000 - ₹50,000 a month"
3452,Assistant Manager - CMG - R&I - Data Science Specialist - Hyderabad,Deloitte,"Hyderabad, Telangana",None,None,None,None
3453,Data Science,Rojgar Group,"Mumbai, Maharashtra",None,None,None,None
3454,Senior Data Scientist,BigShyft,"Bengaluru, Karnataka",None,None,None,None
3455,"Manager, Machine Learning Engineer",Capital One,"Bengaluru, Karnataka",None,None,None,None
3456,Faculty - Artificial Intelligence,EIM,"Kochi, Kerala",None,None,None,None
3457,"Senior Data Scientist, SCM",Neem Consulting,Remote in India,None,None,None,None
3458,Quant Analytics - Associate Senior,JPMorgan Chase & Co,"Bengaluru, Karnataka",None,None,None,None
3459,Technical Content Creator - Artificial Intelligence,DTT (Digital Transformation Twin),"Lucknow, Uttar Pradesh",None,None,None,"₹35,000 - ₹45,000 a month"
3460,"Applied Scientist, EU INTech",ADCI - Karnataka,"Bengaluru, Karnataka",None,None,None,None
3461,Lead Analyst – Data Science,Travelopia,"Bengaluru, Karnataka",None,None,None,None
3462,Data Science Trainer cum Developer,Expertz lab Technologies,"Ernakulam, Kerala",None,None,None,"₹12,000 - ₹20,000 a month"
3463,Senior Data Scientist / Data Scientist 2,CommerceIQ,"Bengaluru, Karnataka",None,None,None,None
3464,Lead ML Engineer,Affine,India,None,None,None,None
3465,Senior Data scientist,ZF,"Chennai, Tamil Nadu",None,None,None,None
3466,Sales Manager B2B & B2C (Data Science ED-TECH)-Noida,Emerging India Educational Services Pvt Ltd,"Noida, Uttar Pradesh",None,None,None,"₹30,000 - ₹50,000 a month"
3467,Assistant Manager - CMG - R&I - Data Science Specialist - Hyderabad,Deloitte,"Hyderabad, Telangana",None,None,None,None
3468,Data Science,Rojgar Group,"Mumbai, Maharashtra",None,None,None,None
3469,Senior Data Scientist,BigShyft,"Bengaluru, Karnataka",None,None,None,None
3470,"Manager, Machine Learning Engineer",Capital One,"Bengaluru, Karnataka",None,None,None,None
3471,Faculty - Artificial Intelligence,EIM,"Kochi, Kerala",None,None,None,None
3472,"Senior Data Scientist, SCM",Neem Consulting,Remote in India,None,None,None,None
3473,Quant Analytics - Associate Senior,JPMorgan Chase & Co,"Bengaluru, Karnataka",None,None,None,None
